page,row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1,1.0,953324,Intern - Business Transformation (1),Hirdaramani - H CONNECT (PVT) LIMITED,Please refer the advertisement.,Thu Apr 07 2022,,Wed Apr 13 2022,yellow
1,2.0,953323,Accounts Assistant (1),Kapruka.com (Pvt)Ltd,Please refer the advertisement.,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,3.0,953322,Interns - Digital Banking Department (2),DFCC Bank,Please refer the advertisement,Thu Apr 07 2022,,Tue Apr 19 2022,yellow
1,4.0,953321,Accounts Assistant (1),David Pieris Motor Company Limited,Please refer to the attachment,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,5.0,953320,Manager - Internal Audit (1),Ceylon Cold Stores PLC,Please refer the advert,Thu Apr 07 2022,,Thu Apr 28 2022,yellow
1,6.0,953318,Accounts Assistant,Micronet Global Services (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,7.0,953317,Data Entry Operator,Micronet Global Services (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,8.0,953316,Interior Designer (1),Odel PLC,Please refer the advertisement,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,9.0,953315,Business Analyst - Business Controlling (1),Odel PLC,Please refer the advertisement,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,10.0,953314,Buyer (1),Softlogic Holdings PLC,Please refer the advertisement,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,11.0,953313,Junior Buyer (1),Odel PLC,Please refer the advertisement ....,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,12.0,953312,Visual Merchandiser (1),Odel PLC,Please refer the advertisement,Thu Apr 07 2022,,Fri Apr 15 2022,yellow
1,13.0,953311,Executive - Knitting,Texlan Center (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,15.0,953309,Executive - Washing,Texlan Center (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,17.0,953307,Regional Manager Bancassurance (Colombo) (1),Union Assurance PLC,Please refer the advertisement.,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,18.0,953305,Community Service Manager / Community Service Assistant / Intern,Company Name Withheld,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,21.0,953302,Management Trainee - Sales & Marketing,Cubik Engineering Co (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,22.0,953301,Management Trainees - (Costing / Business Management),East Link Engineering Co (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,23.0,953300,Marketing Executive (1),Debug Group of Companies,Marketing Executive,Thu Apr 07 2022,,Fri Apr 07 2023,yellow
1,24.0,953299,Marketing Trainee - Head Office (Maharagama),IgniterSpace (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,25.0,953298,Associate & Senior Associate - Operations (20),WNS Global Services (Pvt) Ltd,Flexible to work UK and US shifts from Office. English Communication and residence in Colombo City is Mandatory,Thu Apr 07 2022,,Sun Apr 17 2022,yellow
1,26.0,953297,Technical Manager - Anuradhapura,ABC Trade & Investments (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,27.0,953296,System Administrator (Female),ABC Trade & Investments (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,28.0,953295,Secretary/Assistant Secretary,Company Name Withheld,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,29.0,953294,Regional Field Officer (Kurunegala),International Executive Service Corps (IESC),Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,31.0,953292,Regional Field Officer (Anuradhapura),International Executive Service Corps (IESC),Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,33.0,953290,Assistant Tax Associate,PiyaWardena Associates,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,34.0,953289,Regional Field Officer (Matale),International Executive Service Corps (IESC),Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,35.0,953288,Senior Software Engineers - Net Full Stack,Digiratina Technology Solutions,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,37.0,953286,IT Hardware Technician,Global HR Solutions (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,38.0,953285,Regional Field Officer (Nuwara Eliya),International Executive Service Corps (IESC),Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,39.0,953284,Officer Merchandising,Texlan Center (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,40.0,953283,Assistant Manager / Senior Executive - Digital Marketing,Global HR Solutions (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,41.0,953282,System/Network Engineer (1),Jobfactory,Female candidates are encouraged to apply in Kandy,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,44.0,953279,Senior / Junior Electrical Technician (Generator),Mayphil South Asia Pvt Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu May 05 2022,yellow
1,45.0,953278,Senior Software Engineer .NET (1),Jobfactory,Please refer the Advertisement,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,46.0,953277,Human Resources Coordinator,OnlineKade.lk (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,47.0,953276,Assistant Manager - Administration (1),Goodhope Asia Holdings Ltd,Possess 5 ? 7 years experience in a similar role Bachelor?s Degree/Diploma in Business Administration/Business Management/PQHRM or equivalent will be a de ....,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,48.0,953275,Senior Software Engineer Java (1),Jobfactory,Minimum 4 years of experience in Software Engineering,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,49.0,953274,Junior Technician (Machnical - Diesel Engines),Mayphil South Asia Pvt Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu May 05 2022,yellow
1,50.0,953273,Senior Software Engineer - Full Stack (1),Jobfactory,"Strong Experience in TypeScript, React.js and Node.js.",Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,51.0,953272,Backend Engineer,equiwatt,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,52.0,953271,Executive - IE (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement.,Thu Apr 07 2022,,Wed Apr 13 2022,yellow
1,53.0,953270,Senior Frond End developer (1),Jobfactory,"3+ years of experience in Node Js, React Js, TypeScript",Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,54.0,953269,Executive - Production (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement,Thu Apr 07 2022,,Wed Apr 13 2022,yellow
1,55.0,953268,Executive - Operational Central Planning (OCP),Texlan Center (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,56.0,953267,IT INSTRUCTOR,MJF Group,Please Click on the Vacancy Image and Apply,Thu Apr 07 2022,,Thu Apr 28 2022,yellow
1,57.0,953266,Executive - IE (1),Courtaulds Clothing Lanka (Pvt) Ltd,Refer the advertisement,Thu Apr 07 2022,,Wed Apr 13 2022,yellow
1,58.0,953265,Trainee Junior HR Executive (1),Jobfactory,Please refer the Advertisement,Thu Apr 07 2022,,Thu Apr 14 2022,yellow
1,61.0,953262,Associate - Business Advisory Services,Dilottra Capital (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,62.0,953261,Admin & Assistant Project Coordinator,Sri Lanka Gem & Jewellery Association,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,63.0,953260,Executive - Production,Texlan Center (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,66.0,953257,IT Executive,SevenX Lanka (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
1,67.0,953256,Corporate Secretary ? Top Urgent (1),Maritime Placements (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Sun Apr 17 2022,yellow
1,68.0,953255,Senior Merchandiser (Development),Lucky Industries (Pvt) Ltd,Please refer the advertisement,Thu Apr 07 2022,,Thu Apr 21 2022,yellow
