page,row_no,jobref,position,company,jobdesc_snippet,opening_date,closing_date,town,row_type
1,1,1215076,Reservations Agent (1),CINNAMON LIFE INTEGRATED RESORT,Please refer the advertisement,Wed May 08 2024,Fri May 24 2024,,yellow
1,2,1215075,Service Desk Engineer (3),InbaySL Private Limited,Please refer to the advert.,Wed May 08 2024,Fri May 10 2024,,yellow
1,3,1215074,Client Services Executive (1),InbaySL Private Limited,Please refer to the advert.,Wed May 08 2024,Fri May 10 2024,,yellow
1,4,1215073,Procurement Intern (1),CINNAMON LIFE INTEGRATED RESORT,Please refer the advertisement,Wed May 08 2024,Fri May 24 2024,,yellow
1,5,1215072,Merchandiser - Bulk (1),MAS Linea Aqua,Please click on image to apply.,Wed May 08 2024,Wed May 15 2024,,yellow
1,6,1215071,Finance Intern (1),CINNAMON LIFE INTEGRATED RESORT,Please refer the advertisement,Wed May 08 2024,Fri May 24 2024,,yellow
1,7,1215070,Executive - Human Resources (1),NOLIMIT,Please refer to the Job Advertisement.,Wed May 08 2024,Wed May 15 2024,,yellow
1,8,1215069,Opportunity for school leavers (1),INNODATA LANKA (PVT) LTD,Please refer to the advert,Wed May 08 2024,Wed May 15 2024,,yellow
1,9,1215068,Intern - Finance - General Ledger (1),Hirdaramani - H CONNECT (PVT) LIMITED,Please refer Job Advert,Wed May 08 2024,Wed May 15 2024,,yellow
1,10,1215066,Senior Quality Assurance Engineer / Quality Assurance Engineer,Acentura Pvt Ltd,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,11,1215065,Customer Service Executive,Oscar Wylee,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,12,1215064,Welfare Officer (1),Nawaloka Hospitals PLC,Please refer the Advert,Wed May 08 2024,Wed May 22 2024,,yellow
1,13,1215063,Executive - Financial Operations,Advice Lab,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,14,1215062,Head of Laboratory,Cocotana Coconut Products,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,15,1215061,Teacher Vacancies,Wycherley International School - Gampaha,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,16,1215060,ASSISTANT MANAGER ? SALES & MARKETING [BULK] (1),Maritime Placements (Pvt) Ltd,"Assistant Manager ? Sales & Marketing (Bulk) ? Minimum 3 years? and above experience in Sales & Marketing in apparel industry, MBA, CIMA, CIM, Postgraduate ....",Wed May 08 2024,Sun May 12 2024,,yellow
1,17,1215059,Project Manager (1),John Keells IT,Please refer the Advert.,Wed May 08 2024,Sat Jun 08 2024,,yellow
1,18,1215058,ASSISTANT MANAGER ? SALES & MARKETING [BULK] (1),Maritime Placements (Pvt) Ltd,"Assistant Manager ? Sales & Marketing (Bulk) ? Minimum 3 years? and above experience in Sales & Marketing in apparel industry, MBA, CIMA, CIM, Postgraduate ....",Wed May 08 2024,Sun May 12 2024,,yellow
1,19,1215057,Sample Room Machine Operator / Technician,Sun Queen Apparel (Pvt) Ltd,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,20,1215056,SENIOR EXECUTIVE ? CUSTOMER RELATIONS (1),Maritime Placements (Pvt) Ltd,"Senior Executive- Customer Relations - Minimum 01 year and above experience in similar capacity is a must and experience in apparel industry would prefer, ....",Wed May 08 2024,Sun May 12 2024,,yellow
1,21,1215055,Accounts Executive (1),St.Anthony's Industries Group (Pvt) Ltd.,Please refer the advertisement,Wed May 08 2024,Wed May 15 2024,,yellow
1,22,1215054,SENIOR EXECUTIVE ? CUSTOMER RELATIONS (1),Maritime Placements (Pvt) Ltd,"Senior Executive- Customer Relations - Minimum 01 year and above experience in similar capacity is a must and experience in apparel industry would prefer, ....",Wed May 08 2024,Sun May 12 2024,,yellow
1,23,1215053,Assistant Manager Production (Location - Embilipitiya),KSPA Packaging Private Limited,Please refer the vacancy,Wed May 08 2024,Wed May 22 2024,,yellow
1,24,1215052,Consultant ? Client Services (1),John Keells IT,Please refer the Advert.,Wed May 08 2024,Sat Jun 08 2024,,yellow
